Join_ID,FIPS,Point Coun
464,13153,67.0
465,13155,10.0
466,13157,20.0
467,13159,6.0
468,13161,11.0
469,13163,10.0
470,13165,4.0
471,13167,1.0
472,13169,7.0
473,13171,6.0
474,13173,2.0
475,13175,30.0
476,13177,20.0
477,13179,19.0
478,13181,3.0
479,13183,3.0
480,13185,62.0
481,13187,12.0
482,13189,15.0
483,13191,3.0
484,13193,6.0
485,13195,7.0
486,13197,2.0
487,13199,11.0
488,13201,7.0
489,13205,13.0
490,13207,10.0
491,13209,1.0
492,13211,4.0
493,13213,15.0
494,13215,146.0
495,13217,47.0
496,13219,30.0
497,13221,3.0
498,13223,52.0
499,13225,9.0
500,13227,20.0
501,13229,6.0
502,13231,4.0
503,13233,19.0
504,13235,10.0
505,13237,10.0
506,13239,
507,13241,11.0
508,13243,4.0
509,13245,117.0
510,13247,48.0
511,13249,4.0
512,13251,7.0
513,13253,8.0
514,13255,31.0
515,13257,21.0
516,13259,3.0
517,13261,20.0
518,13263,
519,13265,
520,13267,6.0
521,13269,4.0
522,13271,7.0
523,13273,4.0
524,13275,33.0
525,13277,47.0
526,13279,27.0
527,13281,10.0
528,13283,
529,13285,58.0
530,13287,4.0
531,13289,1.0
532,13291,17.0
533,13293,11.0
534,13295,17.0
535,13297,42.0
536,13299,39.0
537,13301,1.0
538,13303,10.0
539,13305,14.0
540,13307,2.0
541,13309,4.0
542,13311,7.0
543,13313,49.0
544,13315,6.0
545,13317,3.0
546,13319,5.0
547,13321,7.0
548,15001,89.0
549,15003,351.0
550,15005,
551,15007,48.0
552,15009,83.0
553,16001,315.0
554,16003,3.0
555,16005,64.0
556,16007,7.0
557,16009,7.0
558,16011,29.0
559,16013,19.0
560,16015,4.0
561,16017,21.0
562,16019,79.0
563,16021,7.0
564,16023,2.0
565,16025,
566,16027,100.0
567,16029,9.0
568,16031,20.0
569,16033,
570,16035,7.0
571,16037,3.0
572,16039,15.0
573,16041,5.0
574,16043,6.0
575,16045,8.0
576,16047,8.0
577,16049,11.0
578,16051,7.0
579,16053,11.0
580,16055,97.0
581,16057,22.0
582,16059,6.0
583,16061,3.0
584,16063,3.0
585,16065,18.0
586,16067,6.0
587,16069,25.0
588,16071,4.0
589,16073,5.0
590,16075,11.0
591,16077,5.0
592,16079,9.0
593,16081,6.0
594,16083,60.0
595,16085,14.0
596,16087,10.0
597,17001,23.0
598,17003,2.0
599,17005,9.0
600,17007,17.0
601,17009,2.0
602,17011,19.0
603,17013,1.0
604,17015,8.0
605,17017,6.0
606,17019,103.0
607,17021,11.0
608,17023,8.0
609,17025,7.0
610,17027,17.0
611,17029,42.0
612,17031,2580.0
613,17033,14.0
614,17035,4.0
615,17037,39.0
616,17039,7.0
617,17041,9.0
618,17043,578.0
619,17045,11.0
620,17047,5.0
621,17049,21.0
622,17051,3.0
623,17053,10.0
624,17055,23.0
625,17057,21.0
626,17059,4.0
627,17061,8.0
628,17063,30.0
629,17065,3.0
630,17067,9.0
631,17069,4.0
632,17071,1.0
633,17073,29.0
634,17075,17.0
635,17077,40.0
636,17079,3.0
637,17081,29.0
638,17083,13.0
639,17085,14.0
640,17087,3.0
641,17089,261.0
642,17091,64.0
643,17093,41.0
644,17095,33.0
645,17097,320.0
646,17099,74.0
647,17101,4.0
648,17103,24.0
649,17105,38.0
650,17107,10.0
651,17109,11.0
652,17111,116.0
653,17113,111.0
654,17115,42.0
655,17117,21.0
656,17119,118.0
657,17121,17.0
658,17123,5.0
659,17125,8.0
660,17127,13.0
661,17129,4.0
662,17131,8.0
663,17133,17.0
664,17135,18.0
665,17137,10.0
666,17139,9.0
667,17141,24.0
668,17143,184.0
669,17145,8.0
670,17147,10.0
671,17149,9.0
672,17151,3.0
673,17153,4.0
674,17155,2.0
675,17157,27.0
676,17159,10.0
677,17161,98.0
678,17163,100.0
679,17165,19.0
680,17167,102.0
681,17169,4.0
682,17171,1.0
683,17173,15.0
684,17175,
685,17177,25.0
686,17179,76.0
687,17181,14.0
688,17183,45.0
689,17185,3.0
690,17187,11.0
691,17189,5.0
692,17191,9.0
693,17193,10.0
694,17195,33.0
695,17197,317.0
696,17199,64.0
697,17201,146.0
698,17203,19.0
699,18001,11.0
700,18003,243.0
701,18005,32.0
702,18007,2.0
703,18009,5.0
704,18011,27.0
705,18013,5.0
706,18015,4.0
707,18017,19.0
708,18019,62.0
709,18021,11.0
710,18023,17.0
711,18025,2.0
712,18027,29.0
713,18029,26.0
714,18031,16.0
715,18033,30.0
716,18035,55.0
717,18037,25.0
718,18039,95.0
719,18041,12.0
