Join_ID,FIPS,Point Coun
447,01069041400,4.0
448,01069041500,
449,01069041600,
450,01069041700,1.0
451,01069041800,
452,01069041901,
453,01069041902,3.0
454,01069042000,1.0
455,01069042100,1.0
456,01071950101,2.0
457,01071950102,
458,01071950200,
459,01071950301,
460,01071950302,2.0
461,01071950400,1.0
462,01071950500,1.0
463,01071950601,1.0
464,01071950602,
465,01071950700,
466,01071950800,16.0
467,01071950901,1.0
468,01071950902,2.0
469,01071951000,3.0
470,01071951101,2.0
471,01071951102,1.0
472,01073000100,1.0
473,01073000300,1.0
474,01073000400,
475,01073000500,
476,01073000700,
477,01073000800,5.0
478,01073001100,0.0
479,01073001200,
480,01073001400,
481,01073001500,1.0
482,01073001600,2.0
483,01073001902,
484,01073002000,2.0
485,01073002100,
486,01073002200,1.0
487,01073002303,2.0
488,01073002305,1.0
489,01073002306,4.0
490,01073002401,5.0
491,01073002402,1.0
492,01073002701,2.0
493,01073002702,4.0
494,01073002900,0.0
495,01073003001,
496,01073003002,0.0
497,01073003100,2.0
498,01073003200,1.0
499,01073003300,1.0
500,01073003400,4.0
501,01073003500,
502,01073003600,
503,01073003700,2.0
504,01073003802,0.0
505,01073003803,
506,01073003900,
507,01073004000,22.0
508,01073004200,3.0
509,01073004501,1.0
510,01073004502,59.0
511,01073004701,26.0
512,01073004702,
513,01073004800,0.0
514,01073004901,4.0
515,01073004902,4.0
516,01073005000,
517,01073005101,
518,01073005103,
519,01073005104,
520,01073005200,
521,01073005302,0.0
522,01073005500,
523,01073005600,7.0
524,01073005701,
525,01073005702,
526,01073005800,5.0
527,01073005903,15.0
528,01073005905,0.0
529,01073005907,
530,01073005908,0.0
531,01073005909,
532,01073005910,
533,01073010001,
534,01073010002,3.0
535,01073010100,1.0
536,01073010200,5.0
537,01073010301,
538,01073010302,1.0
539,01073010401,
540,01073010402,3.0
541,01073010500,2.0
542,01073010603,4.0
543,01073010604,0.0
544,01073010605,1.0
545,01073010701,1.0
546,01073010702,13.0
547,01073010703,18.0
548,01073010704,5.0
549,01073010705,3.0
550,01073010706,11.0
551,01073010801,4.0
552,01073010802,7.0
553,01073010803,1.0
554,01073010804,1.0
555,01073010806,
556,01073010807,1.0
557,01073010900,2.0
558,01073011002,1.0
559,01073011003,2.0
560,01073011004,0.0
561,01073011108,9.0
562,01073011109,9.0
563,01073011110,
564,01073011112,
565,01073011113,4.0
566,01073011114,2.0
567,01073011115,1.0
568,01073011116,1.0
569,01073011117,2.0
570,01073011205,5.0
571,01073011206,
572,01073011207,
573,01073011208,1.0
574,01073011209,
575,01073011210,
576,01073011301,
577,01073011303,
578,01073011304,1.0
579,01073011401,3.0
580,01073011402,2.0
581,01073011500,
582,01073011600,
583,01073011704,
584,01073011706,
585,01073011707,11.0
586,01073011708,1.0
587,01073011709,1.0
588,01073011710,4.0
589,01073011803,1.0
590,01073011804,1.0
591,01073011805,2.0
592,01073011806,1.0
593,01073011901,0.0
594,01073011904,1.0
595,01073012001,1.0
596,01073012003,9.0
597,01073012004,1.0
598,01073012103,
599,01073012104,2.0
600,01073012200,
601,01073012302,
602,01073012304,1.0
603,01073012306,
604,01073012307,1.0
605,01073012401,2.0
606,01073012402,1.0
607,01073012403,
608,01073012500,
609,01073012602,3.0
610,01073012701,1.0
611,01073012703,13.0
612,01073012704,1.0
613,01073012802,8.0
614,01073012804,3.0
615,01073012805,2.0
616,01073012905,27.0
617,01073012907,1.0
618,01073012908,6.0
619,01073012910,18.0
620,01073012911,3.0
621,01073012913,1.0
622,01073012914,0.0
623,01073012916,1.0
624,01073012917,2.0
625,01073012918,1.0
626,01073012919,
627,01073012920,0.0
628,01073012921,7.0
629,01073013002,
630,01073013100,1.0
631,01073013200,1.0
632,01073013300,1.0
633,01073013400,
634,01073013601,
635,01073013801,
636,01073013901,1.0
637,01073013902,8.0
638,01073014001,1.0
639,01073014002,
640,01073014104,4.0
641,01073014105,12.0
642,01073014106,
643,01073014107,
644,01073014205,1.0
645,01073014206,
646,01073014207,5.0
647,01073014208,1.0
648,01073014209,3.0
649,01073014301,2.0
650,01073014303,4.0
651,01073014304,1.0
652,01073014404,3.0
653,01073014405,1.0
654,01073014406,0.0
655,01073014408,7.0
656,01073014409,5.0
657,01073014410,13.0
658,01073014412,4.0
659,01073014414,6.0
660,01073014415,1.0
661,01075030000,2.0
662,01075030101,2.0
663,01075030102,3.0
664,01075030200,2.0
665,01077010100,3.0
666,01077010200,7.0
667,01077010300,1.0
668,01077010400,1.0
669,01077010600,1.0
670,01077010700,4.0
671,01077010800,1.0
672,01077010901,14.0
673,01077010902,2.0
674,01077011000,2.0
675,01077011101,2.0
676,01077011102,3.0
677,01077011200,
678,01077011300,
679,01077011401,
680,01077011402,1.0
681,01077011502,2.0
682,01077011503,1.0
683,01077011504,1.0
684,01077011602,3.0
685,01077011603,2.0
686,01077011605,2.0
687,01077011606,1.0
688,01077011700,5.0
689,01077011801,
690,01077011802,3.0
691,01079979100,
692,01079979201,2.0
693,01079979202,1.0
694,01079979300,
695,01079979400,8.0
696,01079979501,
697,01079979502,1.0
698,01079979600,3.0
699,01079979700,
700,01079979800,
701,01079979900,1.0
702,01081040201,5.0
703,01081040202,5.0
704,01081040300,1.0
705,01081040401,2.0
706,01081040402,
707,01081040403,
708,01081040501,3.0
709,01081040502,
710,01081040602,0.0
711,01081040603,
712,01081040605,
713,01081040606,1.0
714,01081040607,
715,01081040700,7.0
716,01081040801,
717,01081040802,
718,01081040901,2.0
719,01081040903,
720,01081040904,6.0
721,01081041001,
722,01081041002,
723,01081041101,7.0
724,01081041102,1.0
725,01081041103,0.0
726,01081041104,14.0
727,01081041200,
728,01081041300,7.0
729,01081041400,
730,01081041600,3.0
731,01081041701,3.0
732,01081041702,
733,01081041703,
734,01081041801,
735,01081041802,0.0
736,01081041803,
737,01081041901,
738,01081041902,
739,01081041903,
740,01081042002,4.0
741,01081042003,
742,01081042005,
743,01081042006,1.0
744,01081042007,
745,01081042008,
746,01081042009,
747,01081042101,
748,01081042103,
749,01081042104,2.0
750,01083020101,
751,01083020103,1.0
752,01083020104,
753,01083020201,
754,01083020202,1.0
755,01083020300,2.0
756,01083020402,
757,01083020403,0.0
758,01083020404,
759,01083020500,4.0
760,01083020600,7.0
761,01083020700,1.0
762,01083020803,1.0
763,01083020804,6.0
764,01083020805,
765,01083020806,
766,01083020900,5.0
767,01083021000,1.0
768,01083021101,2.0
769,01083021102,5.0
770,01083021201,4.0
771,01083021202,0.0
772,01083021203,
773,01085780800,2.0
774,01085781000,
775,01085781100,
776,01085781200,
777,01087231400,
778,01087231500,
779,01087231601,
780,01087231602,
781,01087231603,
782,01087231700,
783,01087231800,0.0
784,01087231900,
785,01087232000,7.0
786,01087232100,
787,01087232200,
788,01087232300,
789,01089000203,0.0
790,01089000301,1.0
791,01089000302,1.0
792,01089000403,0.0
793,01089000501,
794,01089000502,
795,01089000503,0.0
796,01089000601,1.0
797,01089000602,
798,01089000701,1.0
799,01089000702,7.0
800,01089000901,
801,01089000902,
802,01089001000,4.0
803,01089001200,1.0
804,01089001301,1.0
805,01089001302,
806,01089001401,1.0
807,01089001403,5.0
808,01089001404,1.0
809,01089001500,2.0
810,01089001700,0.0
811,01089001801,
812,01089001901,11.0
813,01089001902,3.0
814,01089001903,1.0
815,01089002000,5.0
816,01089002100,1.0
817,01089002200,1.0
818,01089002300,1.0
819,01089002400,
820,01089002501,6.0
821,01089002502,1.0
822,01089002600,34.0
823,01089002701,0.0
824,01089002721,3.0
825,01089002722,
826,01089002801,5.0
827,01089002803,1.0
828,01089002804,2.0
829,01089002911,1.0
830,01089002912,2.0
831,01089002922,1.0
832,01089002923,
833,01089002924,
834,01089003000,3.0
835,01089003100,40.0
836,01089010101,1.0
837,01089010102,1.0
838,01089010200,
839,01089010302,
840,01089010303,2.0
841,01089010304,2.0
842,01089010403,
843,01089010404,
844,01089010405,0.0
845,01089010406,2.0
846,01089010502,2.0
847,01089010503,
848,01089010504,1.0
849,01089010612,7.0
850,01089010623,2.0
851,01089010625,3.0
852,01089010626,1.0
853,01089010627,5.0
854,01089010628,
855,01089010629,1.0
856,01089010630,0.0
857,01089010631,1.0
858,01089010703,6.0
859,01089010704,2.0
860,01089010705,
861,01089010706,3.0
862,01089010801,4.0
863,01089010802,
864,01089010902,1.0
865,01089010903,2.0
866,01089010904,6.0
867,01089010905,2.0
868,01089011012,4.0
869,01089011013,0.0
870,01089011021,5.0
871,01089011023,4.0
872,01089011024,1.0
873,01089011025,4.0
874,01089011026,1.0
875,01089011027,2.0
876,01089011028,10.0
877,01089011100,2.0
878,01089011201,2.0
879,01089011202,1.0
880,01089011203,0.0
881,01089011301,
882,01089011302,
883,01089011400,3.0
884,01091972901,0.0
885,01091972902,1.0
886,01091973001,
887,01091973002,1.0
888,01091973100,
889,01091973200,
890,01091973300,0.0
891,01091973400,7.0
892,01093964001,1.0
893,01093964002,
894,01093964100,1.0
895,01093964200,
896,01093964300,1.0
897,01093964401,8.0
898,01093964402,
899,01093964500,2.0
900,01093964600,0.0
901,01093964701,2.0
902,01093964702,8.0
903,01095030101,
904,01095030102,
905,01095030203,0.0
906,01095030204,
907,01095030205,1.0
908,01095030206,0.0
909,01095030301,1.0
910,01095030302,
911,01095030401,4.0
912,01095030402,4.0
913,01095030501,
914,01095030502,8.0
915,01095030601,
916,01095030602,4.0
917,01095030701,6.0
918,01095030702,2.0
919,01095030801,7.0
920,01095030803,
921,01095030804,2.0
922,01095030902,0.0
923,01095030903,5.0
924,01095030904,1.0
925,01095031001,1.0
926,01095031002,1.0
927,01095031100,
